parameter_id,manuscript_symbol,value,unit,source_file,source_location,scope,status
PAR-027,Q_alpha_TS_SLTVKE,2e-9,per update,paper_algorithm_selection_v2/LOCKED_ALGORITHM_SELECTION_HYPERPARAMETERS.csv,Q_alpha,TS-SLTVKE,VERIFIED
PAR-028,Q_ESR_TS_SLTVKE,5e-9,ohm2 per update,paper_algorithm_selection_v2/LOCKED_ALGORITHM_SELECTION_HYPERPARAMETERS.csv,Q_ESR,TS-SLTVKE,VERIFIED
PAR-029,NIS_gate,9,1,paper_algorithm_selection_v2/LOCKED_ALGORITHM_SELECTION_HYPERPARAMETERS.csv,NIS_gate,TS-SLTVKE,VERIFIED
PAR-030,noise_profiles,"1mV/0.5mA;5mV/2mA;10mV/5mA;2.2mV/1.2mA",RMS,paper_algorithm_selection_v2/scripts/paper_algorithm_selection_v2_engine.m,"cfg.sigmaV/cfg.sigmaI",shared frozen noise,VERIFIED
PAR-031,residual_skew,"0;20;50;100",ns,paper_verification_v12/scripts/paper_verification_v12_engine.m,"cfg.skewNs",shared frozen timing mismatch,VERIFIED
PAR-032,health_frame,1024,cycles,paper_algorithm_selection_v2/scripts/paper_algorithm_selection_v2_engine.m,"cfg.healthFrameCycles",20.48 ms at 50 kHz,VERIFIED
PAR-033,F28379D_native_rate,1092896.1749,samples/s/module,verification_v23/config/v23_default_config.m,"cfg.nativeRateHz",device-realistic study,VERIFIED
PAR-034,F28379D_geometry,"guard 0.5; window 2.2; points 3",us/us/count,verification_v23/config/v23_default_config.m,"cfg.guardUs/cfg.windowUs/cfg.pointsPerSide",device-realistic study,VERIFIED
PAR-035,I_Sigma_gate,0.12,A,paper_algorithm_selection_v2/datasets/generate_frozen_o1_stream.m,"validR: iSum >= 0.12",prelocked ESR-row validity rule,VERIFIED
PAR-036,q_gate,"not numerically instantiated",NA,paper_algorithm_selection_v2/datasets/generate_frozen_o1_stream.m,"validC: acceptedCCount > 0 and loadFactor >= 0.20",charge acceptance uses frozen validity flag rather than a scalar q threshold,VERIFIED_NO_NUMERIC_GATE
PAR-037,k_R_calibration_method,"median of 588 pooled ESR_raw/reference_ESR edge ratios over 4 declared profiles",1,verification_v21/covariance/train_v21_covariance.m,"training_cases; calibrate_edge_gain",independently rerun with exact match to archived v2.1 lock,VERIFIED_REPRODUCED
PAR-038,T_w_R,0.0000022,s,verification_v23/config/v23_default_config.m,"cfg.windowUs=2.2",F28379D ESR edge-fit window,VERIFIED
PAR-039,TS_D_RLS_estimator_time,1.36,us/accepted observation,paper_algorithm_selection_v2/results/tables/table_algorithm_complexity.csv,"M1 estimated_execution_us_per_observation",arithmetic-model estimate; not WCET,VERIFIED
PAR-040,health_report_cadence,0.02048,s,paper_algorithm_selection_v2/ALGORITHM_SELECTION_PROTOCOL.md,"1024 cycles at 50 kHz",external reporting cadence; distinct from convergence,VERIFIED_DERIVED
PAR-041,platform_budget,14,us/PWM period,verification_v23/F28379D_COMPUTE_BUDGET.md,"4.5+3.0+5.0+1.5 us",conservative acquisition/processing budget; not estimator execution time,VERIFIED
PAR-042,k_R_v21_full,0.97719802594550731,1,calibration_closure/results/table_kR_calibration_summary.csv,"kR_reproduced_full / kR_archived_v21_full",exact reproduction of archived v2.1 calibration lock,VERIFIED_EXACT
PAR-043,k_R_calibration_dataset,"4 profiles; 147 edges/profile; 588 pooled ratios",count,calibration_closure/results/table_kR_calibration_raw.csv,"case_id / operating_profile / accepted",generated from archived source models and seeds 11901-11904,VERIFIED_REPRODUCED
PAR-044,k_R_calibration_formula,"median(z_R/(I_Sigma*r_C_ref)); omit NaN only; no weighting",1,verification_v21/covariance/train_v21_covariance.m,"calibrate_edge_gain",actual archived formula; not LS/WLS,VERIFIED
PAR-045,r_C_reference,0.05,ohm,cuk_cap_health_verification/model/model_parameters.m,"p.ESR",planted Model-A/Model-B calibration truth; not measured hardware ESR,SIMULATION_REFERENCE_TRUTH
PAR-046,k_R_seed_amplitude,0.006,1,paper_algorithm_selection_v2/scripts/paper_algorithm_selection_v2_engine.m,"cfg.kRSeedAmplitude",casewise fixed variation around the adopted 0.97719802594550731 center,HARDCODED_CASEWISE
PAR-047,k_R_sensitivity,"delta=-1;-0.5;-0.25;0;0.25;0.5;1",percent,calibration_closure/results/table_kR_sensitivity.csv,"35 TS-D-RLS rows; five representative cases",worst absolute endpoint ESR bias 1.170818 percent; no retuning,VERIFIED_SMALL_CHECK
PAR-048,k_R_manuscript_display,0.9772,1,calibration_closure/results/table_kR_calibration_summary.csv,"round(kR_reproduced_full,4)",four-decimal manuscript display; full precision remains the computation input,VERIFIED_ROUNDED_DISPLAY
PAR-049,k_R_rerun_factorial_rows,4608,count,paper_verification_v12/results/raw/factorial_rows.csv,"48 cases x 4 noise x 4 skew x 2 observations x 3 estimators",complete recalibrated paired factorial,VERIFIED_RERUN
PAR-050,k_R_rerun_algorithm_metric_changes,"25 of 66",count,recalibrated_campaign/results/table_algorithm_metric_deltas.csv,"changed=true",machine-readable final-selection cells changed after recalibration,VERIFIED_RERUN
PAR-051,k_R_rerun_manuscript_manifest,88,count,recalibrated_campaign/results/table_manuscript_numeric_updates.csv,"all manuscript-facing rows",changed and invariant values retained for audit,VERIFIED_RERUN
