fs_adc_Hz,adc_interval_s,guard_us,window_us,points_required_per_side,points_available_per_side,minimum_topology_margin_us,sampling_geometry_feasible,modelB_worst_extrapolation_bias_percent,modelB_median_kR,residual_50ns_inside_guard,selected,locked_guard_us,locked_window_us,locked_points_per_side,trigger_mode
1000000,1e-06,0.8,1.5,5,2,4.7,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,0.8,1.5,6,2,4.7,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,0.8,1.5,8,2,4.7,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,0.8,2,3,3,4.2,1,1.95219220254404,1.00069019367719,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,0.8,2,4,3,4.2,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,0.8,2,5,3,4.2,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,0.8,2,6,3,4.2,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,0.8,2,8,3,4.2,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,0.8,2.5,3,3,3.7,1,1.95219220254404,1.00069019367719,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,0.8,2.5,4,3,3.7,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,0.8,2.5,5,3,3.7,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,0.8,2.5,6,3,3.7,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,0.8,2.5,8,3,3.7,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,0.8,3,3,4,3.2,1,2.81072434498103,1.00107362599095,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,0.8,3,4,4,3.2,1,2.81072434498103,1.00107362599095,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,0.8,3,5,4,3.2,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,0.8,3,6,4,3.2,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,0.8,3,8,4,3.2,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,0.8,4,3,5,2.2,1,3.86357575314082,1.00154464759572,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,0.8,4,4,5,2.2,1,3.86357575314082,1.00154464759572,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,0.8,4,5,5,2.2,1,3.86357575314082,1.00154464759572,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,0.8,4,6,5,2.2,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,0.8,4,8,5,2.2,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,0.8,5,3,6,1.2,1,5.16000723575998,1.00133324348136,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,0.8,5,4,6,1.2,1,5.16000723575998,1.00133324348136,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,0.8,5,5,6,1.2,1,5.16000723575998,1.00133324348136,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,0.8,5,6,6,1.2,1,5.16000723575998,1.00133324348136,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,0.8,5,8,6,1.2,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,1,1.5,3,2,4.5,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,1,1.5,4,2,4.5,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,1,1.5,5,2,4.5,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,1,1.5,6,2,4.5,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,1,1.5,8,2,4.5,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,1,2,3,3,4,1,2.39739180150479,1.00088869610575,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,1,2,4,3,4,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,1,2,5,3,4,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,1,2,6,3,4,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,1,2,8,3,4,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,1,2.5,3,3,3.5,1,2.39739180150479,1.00088869610575,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,1,2.5,4,3,3.5,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,1,2.5,5,3,3.5,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,1,2.5,6,3,3.5,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,1,2.5,8,3,3.5,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,1,3,3,4,3,1,3.37275203281624,1.00132455282591,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,1,3,4,4,3,1,3.37275203281624,1.00132455282591,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,1,3,5,4,3,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,1,3,6,4,3,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,1,3,8,4,3,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,1,4,3,5,2,1,4.54850760249167,1.00184807497039,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,1,4,4,5,2,1,4.54850760249167,1.00184807497039,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,1,4,5,5,2,1,4.54850760249167,1.00184807497039,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,1,4,6,5,2,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,1,4,8,5,2,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,1,5,3,6,1,1,6.01594017909161,0.999182612616721,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,1,5,4,6,1,1,6.01594017909161,0.999182612616721,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,1,5,5,6,1,1,6.01594017909161,0.999182612616721,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,1,5,6,6,1,1,6.01594017909161,0.999182612616721,1,0,0.2,2,3,designed_PWM_SOC_burst
1000000,1e-06,1,5,8,6,1,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1100000,9.09090909090909e-07,0.2,1.5,3,2,5.3,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1100000,9.09090909090909e-07,0.2,1.5,4,2,5.3,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1100000,9.09090909090909e-07,0.2,1.5,5,2,5.3,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1100000,9.09090909090909e-07,0.2,1.5,6,2,5.3,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1100000,9.09090909090909e-07,0.2,1.5,8,2,5.3,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1100000,9.09090909090909e-07,0.2,2,3,3,4.8,1,1.15878154708709,1.00019577275256,1,1,0.2,2,3,designed_PWM_SOC_burst
1100000,9.09090909090909e-07,0.2,2,4,3,4.8,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1100000,9.09090909090909e-07,0.2,2,5,3,4.8,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1100000,9.09090909090909e-07,0.2,2,6,3,4.8,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1100000,9.09090909090909e-07,0.2,2,8,3,4.8,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1100000,9.09090909090909e-07,0.2,2.5,3,3,4.3,1,1.15878154708709,1.00019577275256,1,0,0.2,2,3,designed_PWM_SOC_burst
1100000,9.09090909090909e-07,0.2,2.5,4,3,4.3,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1100000,9.09090909090909e-07,0.2,2.5,5,3,4.3,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1100000,9.09090909090909e-07,0.2,2.5,6,3,4.3,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1100000,9.09090909090909e-07,0.2,2.5,8,3,4.3,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1100000,9.09090909090909e-07,0.2,3,3,4,3.8,1,1.27136114090405,1.00038709837105,1,0,0.2,2,3,designed_PWM_SOC_burst
1100000,9.09090909090909e-07,0.2,3,4,4,3.8,1,1.27136114090405,1.00038709837105,1,0,0.2,2,3,designed_PWM_SOC_burst
1100000,9.09090909090909e-07,0.2,3,5,4,3.8,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1100000,9.09090909090909e-07,0.2,3,6,4,3.8,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1100000,9.09090909090909e-07,0.2,3,8,4,3.8,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1100000,9.09090909090909e-07,0.2,4,3,5,2.8,1,1.86164783736614,1.00065057959557,1,0,0.2,2,3,designed_PWM_SOC_burst
1100000,9.09090909090909e-07,0.2,4,4,5,2.8,1,1.86164783736614,1.00065057959557,1,0,0.2,2,3,designed_PWM_SOC_burst
1100000,9.09090909090909e-07,0.2,4,5,5,2.8,1,1.86164783736614,1.00065057959557,1,0,0.2,2,3,designed_PWM_SOC_burst
1100000,9.09090909090909e-07,0.2,4,6,5,2.8,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1100000,9.09090909090909e-07,0.2,4,8,5,2.8,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1100000,9.09090909090909e-07,0.2,5,3,6,1.8,1,2.61269797517101,1.00098633960028,1,0,0.2,2,3,designed_PWM_SOC_burst
1100000,9.09090909090909e-07,0.2,5,4,6,1.8,1,2.61269797517101,1.00098633960028,1,0,0.2,2,3,designed_PWM_SOC_burst
1100000,9.09090909090909e-07,0.2,5,5,6,1.8,1,2.61269797517101,1.00098633960028,1,0,0.2,2,3,designed_PWM_SOC_burst
1100000,9.09090909090909e-07,0.2,5,6,6,1.8,1,2.61269797517101,1.00098633960028,1,0,0.2,2,3,designed_PWM_SOC_burst
1100000,9.09090909090909e-07,0.2,5,8,6,1.8,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1100000,9.09090909090909e-07,0.5,1.5,3,2,5,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1100000,9.09090909090909e-07,0.5,1.5,4,2,5,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1100000,9.09090909090909e-07,0.5,1.5,5,2,5,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1100000,9.09090909090909e-07,0.5,1.5,6,2,5,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1100000,9.09090909090909e-07,0.5,1.5,8,2,5,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1100000,9.09090909090909e-07,0.5,2,3,3,4.5,1,1.28501280259667,1.00039290469772,1,0,0.2,2,3,designed_PWM_SOC_burst
1100000,9.09090909090909e-07,0.5,2,4,3,4.5,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1100000,9.09090909090909e-07,0.5,2,5,3,4.5,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1100000,9.09090909090909e-07,0.5,2,6,3,4.5,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1100000,9.09090909090909e-07,0.5,2,8,3,4.5,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1100000,9.09090909090909e-07,0.5,2.5,3,3,4,1,1.28501280259667,1.00039290469772,1,0,0.2,2,3,designed_PWM_SOC_burst
1100000,9.09090909090909e-07,0.5,2.5,4,3,4,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1100000,9.09090909090909e-07,0.5,2.5,5,3,4,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1100000,9.09090909090909e-07,0.5,2.5,6,3,4,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1100000,9.09090909090909e-07,0.5,2.5,8,3,4,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1100000,9.09090909090909e-07,0.5,3,3,4,3.5,1,1.87386815704596,1.00065556389159,1,0,0.2,2,3,designed_PWM_SOC_burst
1100000,9.09090909090909e-07,0.5,3,4,4,3.5,1,1.87386815704596,1.00065556389159,1,0,0.2,2,3,designed_PWM_SOC_burst
1100000,9.09090909090909e-07,0.5,3,5,4,3.5,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1100000,9.09090909090909e-07,0.5,3,6,4,3.5,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1100000,9.09090909090909e-07,0.5,3,8,4,3.5,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1100000,9.09090909090909e-07,0.5,4,3,5,2.5,1,2.62354183622948,1.00099047416339,1,0,0.2,2,3,designed_PWM_SOC_burst
1100000,9.09090909090909e-07,0.5,4,4,5,2.5,1,2.62354183622948,1.00099047416339,1,0,0.2,2,3,designed_PWM_SOC_burst
1100000,9.09090909090909e-07,0.5,4,5,5,2.5,1,2.62354183622948,1.00099047416339,1,0,0.2,2,3,designed_PWM_SOC_burst
1100000,9.09090909090909e-07,0.5,4,6,5,2.5,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1100000,9.09090909090909e-07,0.5,4,8,5,2.5,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1100000,9.09090909090909e-07,0.5,5,3,6,1.5,1,3.53380389699065,1.00139775792647,1,0,0.2,2,3,designed_PWM_SOC_burst
1100000,9.09090909090909e-07,0.5,5,4,6,1.5,1,3.53380389699065,1.00139775792647,1,0,0.2,2,3,designed_PWM_SOC_burst
1100000,9.09090909090909e-07,0.5,5,5,6,1.5,1,3.53380389699065,1.00139775792647,1,0,0.2,2,3,designed_PWM_SOC_burst
1100000,9.09090909090909e-07,0.5,5,6,6,1.5,1,3.53380389699065,1.00139775792647,1,0,0.2,2,3,designed_PWM_SOC_burst
1100000,9.09090909090909e-07,0.5,5,8,6,1.5,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1100000,9.09090909090909e-07,0.8,1.5,3,2,4.7,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1100000,9.09090909090909e-07,0.8,1.5,4,2,4.7,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1100000,9.09090909090909e-07,0.8,1.5,5,2,4.7,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1100000,9.09090909090909e-07,0.8,1.5,6,2,4.7,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1100000,9.09090909090909e-07,0.8,1.5,8,2,4.7,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1100000,9.09090909090909e-07,0.8,2,3,3,4.2,1,1.83327511908283,1.00063712632844,1,0,0.2,2,3,designed_PWM_SOC_burst
1100000,9.09090909090909e-07,0.8,2,4,3,4.2,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1100000,9.09090909090909e-07,0.8,2,5,3,4.2,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1100000,9.09090909090909e-07,0.8,2,6,3,4.2,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1100000,9.09090909090909e-07,0.8,2,8,3,4.2,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1100000,9.09090909090909e-07,0.8,2.5,3,3,3.7,1,1.83327511908283,1.00063712632844,1,0,0.2,2,3,designed_PWM_SOC_burst
1100000,9.09090909090909e-07,0.8,2.5,4,3,3.7,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1100000,9.09090909090909e-07,0.8,2.5,5,3,3.7,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1100000,9.09090909090909e-07,0.8,2.5,6,3,3.7,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1100000,9.09090909090909e-07,0.8,2.5,8,3,3.7,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1100000,9.09090909090909e-07,0.8,3,3,4,3.2,1,2.58156906569405,1.00097118692039,1,0,0.2,2,3,designed_PWM_SOC_burst
1100000,9.09090909090909e-07,0.8,3,4,4,3.2,1,2.58156906569405,1.00097118692039,1,0,0.2,2,3,designed_PWM_SOC_burst
1100000,9.09090909090909e-07,0.8,3,5,4,3.2,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1100000,9.09090909090909e-07,0.8,3,6,4,3.2,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1100000,9.09090909090909e-07,0.8,3,8,4,3.2,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1100000,9.09090909090909e-07,0.8,4,3,5,2.2,1,3.49050753314722,1.00137759358101,1,0,0.2,2,3,designed_PWM_SOC_burst
1100000,9.09090909090909e-07,0.8,4,4,5,2.2,1,3.49050753314722,1.00137759358101,1,0,0.2,2,3,designed_PWM_SOC_burst
1100000,9.09090909090909e-07,0.8,4,5,5,2.2,1,3.49050753314722,1.00137759358101,1,0,0.2,2,3,designed_PWM_SOC_burst
1100000,9.09090909090909e-07,0.8,4,6,5,2.2,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1100000,9.09090909090909e-07,0.8,4,8,5,2.2,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1100000,9.09090909090909e-07,0.8,5,3,6,1.2,1,4.56741864687591,1.00185646796318,1,0,0.2,2,3,designed_PWM_SOC_burst
1100000,9.09090909090909e-07,0.8,5,4,6,1.2,1,4.56741864687591,1.00185646796318,1,0,0.2,2,3,designed_PWM_SOC_burst
1100000,9.09090909090909e-07,0.8,5,5,6,1.2,1,4.56741864687591,1.00185646796318,1,0,0.2,2,3,designed_PWM_SOC_burst
1100000,9.09090909090909e-07,0.8,5,6,6,1.2,1,4.56741864687591,1.00185646796318,1,0,0.2,2,3,designed_PWM_SOC_burst
1100000,9.09090909090909e-07,0.8,5,8,6,1.2,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1100000,9.09090909090909e-07,1,1.5,3,2,4.5,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
1100000,9.09090909090909e-07,1,1.5,4,2,4.5,0,NaN,NaN,1,0,0.2,2,3,designed_PWM_SOC_burst
